service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20240101, 20250323
A2, 0, 0, 0, 0, 0, 1, 1, 20240101, 20250323
A3, 0, 0, 0, 0, 0, 1, 0, 20240101, 20250323
A4, 0, 0, 0, 0, 0, 0, 1, 20240101, 20250323
B1, 1, 1, 1, 1, 1, 0, 0, 20250324, 20250330
B2, 0, 0, 0, 0, 0, 1, 1, 20250324, 20250330
B3, 0, 0, 0, 0, 0, 1, 0, 20250324, 20250330
B4, 0, 0, 0, 0, 0, 0, 1, 20250324, 20250330
C1, 1, 1, 1, 1, 1, 0, 0, 20250331, 20250406
C2, 0, 0, 0, 0, 0, 1, 1, 20250331, 20250406
C3, 0, 0, 0, 0, 0, 1, 0, 20250331, 20250406
C4, 0, 0, 0, 0, 0, 0, 1, 20250331, 20250406
A1A, 1, 1, 1, 1, 1, 0, 0, 20250407, 20251231
A2A, 0, 0, 0, 0, 0, 1, 1, 20250407, 20251231
A3A, 0, 0, 0, 0, 0, 1, 0, 20250407, 20251231
A4A, 0, 0, 0, 0, 0, 0, 1, 20250407, 20251231
D2, 0, 0, 0, 0, 0, 1, 0, 20250329, 20250329
D3, 0, 0, 0, 0, 0, 1, 0, 20250329, 20250329
