service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20250101, 20251228
A2, 0, 0, 0, 0, 0, 1, 1, 20250101, 20251228
A3, 0, 0, 0, 0, 0, 1, 0, 20250101, 20251228
A4, 0, 0, 0, 0, 0, 0, 1, 20250101, 20251228
B1, 1, 1, 1, 1, 1, 0, 0, 20251229, 20260104
B2, 0, 0, 0, 0, 0, 1, 1, 20251229, 20260104
B3, 1, 1, 1, 1, 1, 1, 0, 20251229, 20260104
B4, 0, 0, 0, 0, 0, 1, 0, 20251229, 20260104
B5, 0, 0, 0, 0, 0, 0, 1, 20251229, 20260104
A1A, 1, 1, 1, 1, 1, 0, 0, 20260105, 20261231
A2A, 0, 0, 0, 0, 0, 1, 1, 20260105, 20261231
A3A, 0, 0, 0, 0, 0, 1, 0, 20260105, 20261231
A4A, 0, 0, 0, 0, 0, 0, 1, 20260105, 20261231
C2, 0, 0, 0, 0, 0, 0, 1, 20260104, 20260104
C4, 0, 0, 0, 0, 0, 0, 1, 20260104, 20260104
